X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-7.703.804;-1.205.953;TIENDAS TAMBO S.A.C;AV. INCA GARCILAZO DE LA VEGA NRO 1488 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.205.953;-7.703.804;07:00 am - 10:30 pm;AV. INCA GARCILAZO DE LA VEGA NRO 1488 LIMA-LIMA-LIMA;;;;;;
-7.700.392;-1.209.005;TIENDAS TAMBO S.A.C;JIRON MORELLI NRO 225 - INT 05 (PRIMER PISO) LIMA-LIMA-SAN BORJA;07:00 am - 10:30 pm;-1.209.005;-7.700.392;07:00 am - 10:30 pm;JIRON MORELLI NRO 225 - INT 05 (PRIMER PISO) LIMA-LIMA-SAN BORJA;;;;;;
-770.536;-1.209.251;OXXO PERSHING;AV.FAUSTINO SANCHEZ CARRIÓN N° 1077;07:00 am - 10:00 pm;-1.209.251;-770.536;07:00 am - 10:00 pm;AV.FAUSTINO SANCHEZ CARRIÓN N° 1077;;;;;;
-7.702.892;-1.212.146;TIENDAS TAMBO S.A.C;AV. JOSE A. LARCO N° 409,MIRAFLORES;07:00 am - 10:30 pm;-1.212.146;-7.702.892;07:00 am - 10:30 pm;AV. JOSE A. LARCO N° 409,MIRAFLORES;;;;;;
-7.700.392;-1.209.005;TIENDAS TAMBO S.A.C;JIRON MORELLI NRO 225 - INT 05 (PRIMER PISO) LIMA-LIMA-SAN BORJA;07:00 am - 10:30 pm;-1.209.005;-7.700.392;07:00 am - 10:30 pm;JIRON MORELLI NRO 225 - INT 05 (PRIMER PISO) LIMA-LIMA-SAN BORJA;;;;;;
-7.702.664;-1.209.194;TIENDAS TAMBO S.A.C;AV. RIVERA NAVARRETE 449 LIMA-LIMA-SAN ISIDRO;07:00 am - 10:30 pm;-1.209.194;-7.702.664;07:00 am - 10:30 pm;AV. RIVERA NAVARRETE 449 LIMA-LIMA-SAN ISIDRO;;;;;;
-7.706.692;-1.208.269;TIENDAS TAMBO S.A.C;AV. SUCRE NRO. 1183 LIMA-LIMA-PUEBLO LIBRE;07:00 am - 10:30 pm;-1.208.269;-7.706.692;07:00 am - 10:30 pm;AV. SUCRE NRO. 1183 LIMA-LIMA-PUEBLO LIBRE;;;;;;
-7.703.475;-1.208.368;TIENDAS TAMBO S.A.C;AV AREQUIPA 1900 - LINCE;07:00 am - 10:30 pm;-1.208.368;-7.703.475;07:00 am - 10:30 pm;AV AREQUIPA 1900 - LINCE;;;;;;
-7.709.239;-1.207.802;TIENDAS TAMBO S.A.C;AV. LA MARINA NRO. 2679(PRIMER NIVEL) LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.207.802;-7.709.239;07:00 am - 10:30 pm;AV. LA MARINA NRO. 2679(PRIMER NIVEL) LIMA-LIMA-SAN MIGUEL;;;;;;
-7.703.621;-1.206.814;TIENDAS TAMBO S.A.C;JR. SACO OLIVEROS NRO. 261 LIMA - LIMA - LIMA;07:00 am - 10:30 pm;-1.206.814;-7.703.621;07:00 am - 10:30 pm;JR. SACO OLIVEROS NRO. 261 LIMA - LIMA - LIMA;;;;;;
